,dates,NEE_uStar_f,LH_f,VPD_orig,Tower_T,2DWindspeed,NetRadi,H2,O18,C13
348,2018-08-15,-2.4965826244483256,54.34888412705856,,22.458481250000006,1.6541370918113305,200.8745714285714,-80.0538907478472,,-25.4836311479393
349,2018-08-16,-2.5235019077740333,38.00728582192461,11.46498592059834,22.085104166666678,1.5055903642558741,168.76999999999998,-89.2929375210588,,-26.460834835082
350,2018-08-17,-1.8107547063531,36.92292362430555,11.252541527305455,19.366935416666674,2.1236461653319947,233.22611111111115,-140.718163261066,,-26.2978033358645
351,2018-08-18,-0.6266677483428029,42.94249257520834,11.021970523647452,18.86165625,1.883869638972606,268.3054285714286,,,-25.8039223477957
352,2018-08-19,-0.36130910957623835,43.6171494873509,16.38378822072319,23.010023684210523,1.9240588101147322,229.10297297297296,-96.3343373250959,,-26.4017211991011
353,2018-08-20,-2.440619271464138,32.43631560845284,11.101861196246679,20.996935416666666,1.744247578852898,107.13166666666667,-78.4308164227983,,
354,2018-08-21,0.2976400212556048,46.13174651921296,13.719368892637414,21.239941666666667,2.380547392551493,147.8455555555556,,,-25.0337498302099
355,2018-08-22,-0.7241916222704475,41.84728833402777,,21.74541041666667,1.8473890482734097,257.54129032258066,,,
356,2018-08-23,-1.9897914215070927,35.15062698239426,12.418890328432267,19.661585416666668,2.472648905221963,193.52684210526314,,,
357,2018-08-24,-2.399077999257885,16.402263224502878,5.4715918417601594,14.099404166666671,2.7100086640505325,76.0040425531915,,,-26.0392153235238
358,2018-08-25,-3.290606514286717,20.536436558294604,4.677743302340907,12.641387499999995,1.9820832071438492,145.85567567567566,-113.002996472088,,
359,2018-08-26,-2.305995560629555,11.06558535820124,5.17304332780232,14.704934374999999,2.279783433495024,101.46843750000001,,,
360,2018-08-27,-3.845146385175596,33.05902641123002,4.051247518483379,14.545385416666667,1.3599933093147965,171.9422916666667,,,
361,2018-08-28,-0.5950444447106481,44.87394088124998,9.984883231902714,17.388387500000004,1.8829766214365344,196.5439024390244,-79.5821975965215,,
362,2018-08-29,-2.4996989459838272,36.12473188676659,12.14521894594412,17.476502439024387,1.546368571391447,64.25051282051282,,,
363,2018-08-30,-0.7022540317888707,30.306678243890655,9.122786696727102,17.338485714285714,1.9305273194537689,86.72571428571428,,,
364,2018-08-31,-1.2789839118840793,27.226711701538704,6.087796901658884,15.639083333333332,2.3681140682744486,90.8123404255319,,,
365,2018-09-01,-4.106536184798531,48.30365021138778,5.772666614756438,13.755708333333333,2.246741667407654,153.64874999999998,,,
366,2018-09-02,-2.8195051522064056,51.81500917938433,8.099787001974393,,,,,,
367,2018-09-03,-2.066354956616656,41.05480849320799,9.239914686646134,,,,,,
368,2018-09-04,-1.0560047647695476,34.50919886728963,10.244788271258122,,,,,,
369,2018-09-05,-3.0770554633021336,40.44260516816784,15.858839882993093,,,,,,
370,2018-09-06,-2.274291863304641,45.89764890478579,16.111969694592542,,,,,,
371,2018-09-07,-2.1973916182148696,55.934571313600976,14.931520584985757,,,,,,
372,2018-09-08,0.08279437641195513,43.172152002945005,7.982224191286259,,,,,,
373,2018-09-09,-0.9559599200121088,51.73572750424096,7.210515625063755,,,,,,
374,2018-09-10,-0.5780564902901112,44.08828554285688,6.307901485303341,,,,,,
375,2018-09-11,-1.0285736420554281,29.05071005255202,1.699900223927548,11.642600000000002,1.3747807017418838,113.76404255319149,,,
376,2018-09-12,-0.5051033216953147,27.212757399700752,1.2247749244363335,10.660597916666669,1.13748514165389,72.330625,,,
377,2018-09-13,-1.8847686757990252,33.8969738612274,1.087593351756017,9.66608125,1.2105534564487677,108.10375,-100.824615689256,-14.0742911348307,-26.1754660973042
378,2018-09-14,-1.823207797748058,50.69087424559343,4.305842863632264,12.403085416666668,1.5055804733010343,131.06979166666665,,,-26.1488055970069
379,2018-09-15,-2.802016401237454,35.837926789583335,4.575439371463886,11.980333333333329,1.4074834334100326,75.9565909090909,-102.766043811394,,
380,2018-09-16,1.0552270150402385,17.932627119238305,1.8237205482195549,11.29792083333333,1.4668487052074006,73.333125,,,-27.43619694219
381,2018-09-17,-2.161862922165824,34.644179105645534,2.5716335874655196,9.707797916666665,0.871079245396583,163.11375,-79.3476008412647,-10.5569151605999,-27.4802663263213
382,2018-09-18,-1.3927785063671212,43.12409334871405,4.2675378837310465,,,,,,
383,2018-09-19,-1.5585853485591181,42.36670517006663,4.009894958427599,11.98754583333333,1.6644487270698134,118.76749999999998,,,
384,2018-09-20,-1.018025540458103,41.77474544474447,5.477483159639078,12.749812499999997,1.854876402224468,124.41934782608693,-89.0350079100173,,
385,2018-09-21,-1.3768176115202475,32.03761894452381,5.467360997037056,13.176479166666672,1.3887569147972458,89.79555555555557,-99.3656811469248,,
386,2018-09-22,-0.4089197127210901,24.796349974422796,3.6152871926874197,14.405619047619046,1.3864730376615273,50.03975609756097,,,-26.4776722181619
387,2018-09-23,-0.5666117877509255,36.13391037926268,2.4566304511455335,9.50021875,2.1664958880027756,80.2931914893617,-119.403656479309,-14.3452099336394,-26.9951183701197
388,2018-09-24,-0.9927210204046574,33.825445924305555,4.70140416379389,10.238131249999997,1.527509673704981,118.89159090909092,,,-26.683967231304
389,2018-09-25,-0.5588482335847905,40.17299875494084,7.225929647002893,12.643299999999998,1.8472345909585834,144.98499999999999,,,-26.820765015846
390,2018-09-26,-0.18231598953024175,36.40563251815477,10.069710124542503,14.837979166666665,1.4650493983031934,138.10999999999999,,,-26.738465337266
391,2018-09-27,-1.2870926144508321,37.379806262283445,11.885513087087125,16.99903541666666,1.7013903842454292,130.30675000000002,-83.5358300433653,,-26.0625117048792
392,2018-09-28,-0.14102383833751717,34.91589255938376,12.341409156621054,17.425427083333332,2.148046559869797,118.64309523809524,,,
393,2018-09-29,-1.58287095800202,26.910828313585032,6.741736412017079,14.33177083333333,1.4908704410573754,50.30952380952381,,,-26.4568423205786
394,2018-09-30,-1.761151174879501,6.90343673712094,3.597409850061935,11.666927083333329,1.132363188939386,23.43955555555556,,,-26.681593298434
395,2018-10-01,-0.026576762537837296,29.357919201190473,4.538745187793246,13.41448125,1.1327264575618836,94.07375,,,
396,2018-10-02,1.0635914142863199,29.77132574004629,4.756396155634296,14.366512499999997,1.8994171109168116,79.104375,,,-26.0614681780325
397,2018-10-03,-1.577562311590384,40.138161169791665,4.8750125396076,8.932293749999998,2.462257518803193,114.43783783783783,-95.7429784329218,,-27.4621251609851
398,2018-10-04,-0.9846860145341498,25.811058676997874,5.109483205308623,9.383431250000003,1.6641696102937082,54.92354166666667,,,-26.5966744912694
399,2018-10-05,-1.0660075299820388,10.48727504610148,1.7366880169048284,6.089910416666665,1.2724674565869314,8.93023809523809,-155.788145904169,-23.4989107675702,-27.1265402511747
400,2018-10-06,-1.184661824709994,21.705561747852684,1.009672563094195,8.554956249999998,1.455982937358638,101.01291666666667,,,
401,2018-10-07,-1.9031121235973327,26.14155310690128,2.7730765730741127,10.092677777777778,1.1638774959765055,126.77481481481482,-105.436188115031,-12.2460555605812,
402,2018-10-08,-0.3399958938989278,10.992668198609488,1.056240568504261,10.102395833333334,0.9054270544785691,47.891249999999985,,,-28.71857502681
403,2018-10-09,0.004522070438422047,30.78969986411015,1.8902940433659605,12.023131250000006,1.6434095175924197,63.53617021276595,,,-27.5397623826
404,2018-10-10,-0.247743086518286,26.28200462354018,2.2421658169895173,10.35855625,0.9141405611535106,93.26083333333332,,,-28.8509920298572
405,2018-10-11,-1.596177778054085,37.74904581979171,3.952837882681011,9.318425,1.5458139785434304,75.623125,,,
406,2018-10-12,-2.647366054560581,35.28037478264262,4.458634801549432,9.34275208333333,1.4081020664136508,68.9825,-108.140320676003,,
407,2018-10-13,-1.2282345275337596,40.90760490109119,5.084235511770876,10.616014583333333,1.8685406330391496,96.84631578947368,-115.299468241217,,-25.9533400272887
408,2018-10-14,-1.0809967821864332,43.72419726954087,8.121979154668217,10.511225000000001,2.3915944004029774,53.19625000000001,-108.21127800986,,-28.517210844635
409,2018-10-15,-0.4557078530206216,31.046624206478345,8.340953156656596,9.836089583333331,1.715735020030868,61.71130434782608,-118.078237584682,,
410,2018-10-16,-0.34289797814350537,31.597765059803265,8.745372008013844,11.637114583333334,1.8684670501880616,66.16909090909091,-110.880110013846,,-28.4111884041435
411,2018-10-17,-1.0146409132160616,29.898747348318736,8.64224677322023,12.258964583333332,1.9076656023442775,108.12636363636364,,,-28.4205470591617
412,2018-10-18,-1.2672261342694318,30.200637379321364,6.1582977159696535,10.493989583333336,1.2636315005784946,90.8038888888889,-101.54261571752,,-27.5823069253712
413,2018-10-19,-0.7892156518823783,34.043042218572,5.575046985380877,11.578754166666668,1.3322447745592296,86.00972972972973,-110.375689358451,,-28.4589787328444
414,2018-10-20,-0.2862450541028973,32.41177228221955,5.60703240511387,11.301625,1.3933983090403472,84.58324324324326,-107.745275082422,,-29.7396770907607
415,2018-10-21,-0.3130427626441428,33.6974916359113,5.388302822651024,11.613219148936171,1.6028635475855504,44.43255319148934,,,-27.9069439015328
416,2018-10-22,0.1461432266853525,32.452266134153014,5.358352887432543,11.115258333333335,1.8014651512490432,71.79973684210528,,,-28.864874256637
417,2018-10-23,0.48653011052421585,29.668894016527755,4.3587030228629535,10.343725000000001,1.388672812640749,14.602325581395348,,,-28.4626439743659
418,2018-10-24,0.4360675509004202,27.07921332030577,2.8575147758947494,10.945302083333333,1.1050901599935756,45.268936170212775,-124.877559839976,,-29.088642513795
419,2018-10-25,1.0652899692434208,11.89761313299306,1.8728046166589924,10.11715,1.0491682999995107,21.633749999999996,,,-29.3810522192581
420,2018-10-26,-1.0619022966487306,16.606111009063103,0.7279270009268307,11.530091666666666,1.7216081658201956,50.571875,,-8.69196165185212,-28.5578155012205
421,2018-10-27,-0.7637334079580906,21.9298540365518,1.0996918979746497,10.555960416666666,1.5355839223437457,78.82770833333332,,,-30.662413020412
422,2018-10-28,0.43439835341183125,13.063424330245887,0.7840846559931115,10.542981249999999,1.9851990524287217,40.64833333333334,,,-27.444480232679
423,2018-10-29,-0.2537276005335794,17.575278565046414,0.6809503895050849,7.708127083333331,1.2732739372482125,75.09604166666668,,,-28.4326960496332
424,2018-10-30,-0.16426039836683573,13.431870439866302,0.5352862936948505,7.04280833333333,1.2516297872132582,54.2725,,-12.7084747522924,-29.2466242664676
425,2018-10-31,0.16117467818932166,15.798932797313412,0.7216333194488754,8.433889583333334,1.851655699121524,36.188958333333325,-81.9288430892434,,
426,2018-11-01,1.2992800944877265,11.100423648960136,1.4764011232828578,12.854258333333332,1.8543107368097982,30.52604166666667,,,
427,2018-11-02,0.17435744034981457,17.117391105287233,2.913180770058388,12.362539583333335,2.5502913112489316,33.78312500000001,,,-27.643369355874
428,2018-11-03,-0.3494905084568279,15.582720332276786,2.5934553674721386,10.332520833333334,1.686619585128496,22.421458333333337,-69.7976816668983,,-28.8826933214293
429,2018-11-04,-0.6726590223947411,17.587225219303892,1.6227578759774293,9.751285416666667,2.017180014021348,39.51020833333333,,,-27.634917873125
430,2018-11-05,0.15421565259218836,11.313841338735884,1.504957940398949,8.528960416666667,2.5048629606893704,33.45312499999999,,,-29.1842721647498
431,2018-11-06,-0.4736947855612703,17.25845023519855,1.0436229439747273,6.908225000000001,1.6115453166116471,70.72854166666667,,,-28.7665338883901
432,2018-11-07,-0.5887560204534341,15.03544905521045,1.090603629410511,4.973610416666667,1.0156216246423797,74.515,-83.5446956250288,,-29.1642180820619
433,2018-11-08,-0.7526723597777623,16.78941044739851,1.2993588345046043,3.1812166666666664,1.1994597420207949,24.80372093023256,-82.4132212709631,,-29.1221381600547
434,2018-11-09,-0.00294062187848884,10.62714735,1.5860073846947635,2.214679166666667,1.3935062720178515,25.716388888888908,-85.4046488192386,,-29.567183931867
435,2018-11-10,-0.593512305009697,14.304953624558658,1.7701322552799834,4.0427124999999995,1.4649610460684974,21.137826086956508,,,-26.069732393492
436,2018-11-11,-0.5808486587339682,16.393777659583332,2.0596864315405763,3.047825,2.007147208170067,9.497111111111135,,,-28.237191586201
437,2018-11-12,-0.0839809952952583,15.561421419044116,2.355566857463317,2.4946750000000013,3.161711972410792,1.5958333333333063,,,-28.3739054592072
438,2018-11-13,-0.19500847156572557,5.0826574231402715,1.0019828969509958,-0.12078333333333331,1.106846482107415,-6.559374999999988,,,-28.5114189999558
439,2018-11-14,0.5150362738737476,6.719236768554263,0.4905031007879657,1.344483333333333,1.091960529414346,-2.230000000000004,,,-27.7826826152161
440,2018-11-15,-0.9481651965682684,13.832231449830546,0.8052131040500269,5.758277083333333,3.0286692957823704,75.86020833333333,,,-28.4485038406129
441,2018-11-16,-1.035332407280794,8.623532025622302,1.1796435455660752,6.754035416666667,1.1790297421295517,25.88145833333333,,,
442,2018-11-17,-1.8049816166671422,4.7000141027022435,3.543544076035257,6.674591666666665,2.3449655485429326,-7.770833333333347,,,-28.5400125367373
443,2018-11-18,-0.7362694856030022,13.570101166666666,3.192612790575479,4.476575,2.51592389975877,-7.748541666666675,,,-28.771160756044
444,2018-11-19,-1.153585403631949,13.564626096441126,2.1804528799138043,2.7733666666666665,1.901729789642206,0.6895833333333371,,,-28.3665400297546
445,2018-11-20,-1.2275915126967403,10.245211246175055,1.9978620327108751,2.2251291666666666,1.7222555921575624,-4.305624999999989,,,-29.0232886758997
446,2018-11-21,-0.5800717800098268,2.7159834002978394,1.8878172596592437,2.7625145833333336,0.9063052981742383,-6.760208333333342,,,-28.4112250248404
447,2018-11-22,0.18961504446412647,0.7406378832000504,0.24272736157271238,2.9521541666666664,1.1804604269270202,23.791041666666658,,,-28.8592881443955
448,2018-11-23,0.5560864862406307,1.0424475924811052,0.5737454251479924,5.635014583333334,1.9338164190157265,19.285625,,,-28.0092813731761
449,2018-11-24,-0.8019114301400316,8.274150183772678,0.7354996686535594,4.088491666666668,1.2402078197078412,49.12833333333332,,,-30.0550774126707
450,2018-11-25,0.03596790045995058,0.7425749226244526,0.6613165993447456,2.2040791666666664,0.8860525202649835,12.271063829787243,-83.4360185100434,-12.0715692851346,-30.8823362100886
451,2018-11-26,0.35473536969110775,-0.43533523859405915,0.6215329586692194,3.172483333333334,0.8887497728887358,6.117083333333337,-109.535253465559,-8.27823152634313,
452,2018-11-27,0.1993348300131386,1.1871255008336867,0.1944333053523695,4.639395652173912,1.0783262941796334,25.128913043478267,,,-28.0739959869558
453,2018-11-28,-0.7362385757591124,0.2707632219679829,0.3128722184568798,6.857290625000001,1.3672683224264222,20.343437500000007,,,-29.4105312222017
454,2018-11-29,-0.1527411360757969,-0.5156092116026464,0.3203273987998505,4.758923684210527,1.178009445486792,22.7542105263158,,,-29.2681687056667
455,2018-11-30,0.2674412459843142,-2.446696428036375,0.4621951998662434,4.542495833333333,0.9841440678483262,16.335625000000004,,,-29.5512115039833
456,2018-12-01,0.9712949584668334,3.6913215926414975,0.2853026794068093,2.238764583333333,1.2923303003550057,41.73833333333334,,,
457,2018-12-02,0.4062046621863083,7.380875782017369,0.20841086686233423,1.359190909090909,,31.109166666666663,,-17.8876105770497,-28.4766926006263
458,2018-12-03,0.4121956608140192,2.940953605254966,0.3232496432148081,0.6350891304347825,1.252069805197335,4.5474999999999985,,,
459,2018-12-04,0.33287524779027977,17.00526891606744,1.7448325288479543,1.976825000000001,3.0880455445542996,-6.9504166666666665,-105.124787662539,-13.7561393780192,
460,2018-12-05,0.5400642892796846,6.453497744408078,1.2996212678149366,-0.22028958333333334,,-38.93083333333331,,,-26.47929035971
461,2018-12-06,1.1102062367415704,12.918365975886488,2.0330033974308033,-0.4808104166666665,,-16.940625000000015,,,
462,2018-12-07,1.4968423527702386,11.98317690783967,1.7884824304023281,-1.23205625,,2.3447916666666697,,,
463,2018-12-08,1.364030179411829,8.60295745625,0.9811166647226028,-1.5540375,1.7995065169731825,11.26229166666667,,,
464,2018-12-09,1.902820973520962,7.52111222228939,0.9176109363339067,-1.3609354166666667,2.5848314210432277,8.833541666666662,,,
465,2018-12-10,0.8973338244526633,8.495748012210354,0.19353557462481816,-0.22102708333333335,1.0312457653151923,32.855833333333344,,,-29.5451559669537
466,2018-12-11,1.4818146863218036,7.773900919583902,0.26068625898873815,2.4914625000000004,2.1881893386370366,17.48604166666667,,,-28.9976635305869
467,2018-12-12,-1.0000594649569015,12.164217327757283,1.2680904433406017,5.231864583333333,2.842744290608419,39.23333333333335,,,-29.2940508268583
468,2018-12-13,0.22651165292972383,5.580587822252087,0.29336051725629947,3.0161375000000006,2.374607842584602,45.8525,,,-29.5628937701503
469,2018-12-14,0.5432400134403631,0.053653100303294766,0.5960762696931688,1.9911520833333334,1.2627258629481886,30.88395833333334,,,-29.2358337117049
470,2018-12-15,0.21444507385545522,0.8120361699537816,0.9607780343591803,3.633772916666668,1.5346429118142242,5.1989583333333345,,,
471,2018-12-16,1.3117560574740417,-1.1006996805689784,0.44215094060918364,3.1160333333333337,1.184962990218517,10.37895833333332,,,
472,2018-12-17,-0.04822307376970906,0.8069131574715708,0.29066967287146495,5.605662500000001,1.343264395390118,27.962708333333328,,,
473,2018-12-18,0.230261847459351,2.5390197709557176,0.9628924317703671,7.019325000000002,1.8062590597673445,17.367291666666663,,,-28.8439804284886
474,2018-12-19,-0.4853134269796228,-4.275435913254511,0.8520851542906925,6.2901125,1.2876374893084512,16.317291666666673,,,
475,2018-12-20,0.8583525786216263,-9.455679040113855,0.6000546706990897,6.228454166666668,1.276785080684018,6.969374999999996,,,-30.4954347956973
476,2018-12-21,0.3570863067682284,-1.5937144987288914,1.4073697133136653,3.2076041666666675,2.2281109653015028,-4.564999999999999,,,
477,2018-12-22,0.8841560415578297,1.3197126774255443,0.4474272339257322,0.31329999999999997,0.8491616565409218,-2.488958333333333,,,
478,2018-12-23,1.850195148871032,-1.096719055844326,0.26834805436430265,0.43223191489361695,1.1783569364787578,10.339375000000004,,,
479,2018-12-24,0.6266637450202328,1.1925783823212686,0.14978387387279368,1.17805625,1.1324887288399679,29.089583333333326,,,
480,2018-12-25,0.6388871047683163,-0.028470988232631913,0.31033612215286943,0.9104145833333335,0.807234167333951,34.70354166666666,,,
481,2018-12-26,1.5326859473583825,-1.5325778941802872,0.12541072648231727,0.48304583333333356,0.7174248300895699,15.523958333333338,,,
482,2018-12-27,0.47955400233505846,3.712639620759205,0.18501861201444855,1.0380520833333333,1.0044494390485936,58.88270833333334,-91.3300216435113,-11.8176954009283,-28.0724011428671
483,2018-12-28,1.078582697564137,2.21874150686299,0.18980620907230952,1.9338812499999998,0.7737476250576295,27.411249999999995,-129.411579332397,-17.5306633918882,
484,2018-12-29,0.5773385064682807,6.048346083473487,0.5245772568051604,4.7390333333333325,,34.163124999999994,,,-28.3625770589722
485,2018-12-30,-0.06864770504770314,12.539641427729677,1.2104523419466988,5.324845833333333,2.904003427491206,35.26,,,-29.5047299619309
486,2018-12-31,-0.06126171843510958,1.2745041335558482,0.4994628096950163,0.9200541666666666,1.1287590015492581,74.64916666666667,,,
487,2019-01-01,-0.07957885765995393,3.1810728909028554,0.605689807596476,-0.7867833333333332,0.8209822413663345,59.577916666666674,,,
488,2019-01-02,0.099922710075383,4.5688908706861024,0.6056919165158752,-0.008597916666666428,0.6757202317602883,38.48375,-169.546913450162,,
489,2019-01-03,0.9979924629483526,-0.5031959550972459,0.8060406646772579,4.046935416666666,1.7807958577808733,21.193541666666665,-146.308379386417,-15.4320047288117,
490,2019-01-04,1.0869365263447357,7.793763714295852,0.6052676544877625,5.823004166666667,2.112049695406547,11.515833333333333,,,-28.1330432831452
491,2019-01-05,0.1398292152162561,2.5768315582443218,0.333347153219761,4.004924999999999,1.190701504847435,30.026874999999993,,,
492,2019-01-06,0.36775086941498175,-1.7952665968218187,0.6516098355562526,2.7762854166666666,1.7301193278981284,15.682291666666664,,,-28.4132999039012
493,2019-01-07,-1.0797321338999641,2.32164398178665,0.22264390472299359,0.802247916666667,1.2492121076873615,66.13041666666668,,,-30.1900618445874
494,2019-01-08,0.41183944531970207,-2.4650101299108447,0.4307027992316136,0.6012714285714285,1.6835931769274188,12.247142857142865,,,
495,2019-01-09,0.4171542945101243,-2.6039696547647706,0.22426388268286868,0.7348333333333333,1.0952173257003648,57.99000000000001,-146.681238584234,,
496,2019-01-10,0.05625302623075034,6.00436799575224,0.14456854588388757,2.121047916666667,1.0541249963566643,46.86708333333332,,,-28.4394253676464
497,2019-01-11,0.04471414274066938,4.126709416791911,0.3781929191470961,2.7630125,2.0996944629862164,32.18541666666667,,,-29.0641992194585
498,2019-01-12,-1.1608054060584883,13.125397380158853,1.0187101460578594,2.7015437500000004,2.010902549817405,25.112083333333334,,,-30.3453789952739
499,2019-01-13,-0.26589315767124594,11.335142096222725,1.169696636720321,2.2277437500000006,2.8255545631168686,10.578958333333327,,,-29.336032551191
500,2019-01-14,0.430574791832878,9.972388259718015,1.1539435264735316,0.4333854166666668,,-32.58958333333334,-108.636569565998,-13.1419143381725,-29.9768547426819
501,2019-01-15,0.8460026445836556,12.73386394737758,1.169686149032927,-1.0329270833333337,,-2.6372916666666852,,,
502,2019-01-16,0.9044091224006544,8.89421235842942,1.1626290312584466,-0.8327583333333334,3.2408840331842153,16.92645833333334,,,
503,2019-01-17,0.49484869378764507,2.521040854317524,0.41791679320199043,-0.008999999999999954,1.684839367679085,26.72541666666667,,,-28.3427366678138
504,2019-01-18,1.00665378340256,4.141050278651444,0.3127736384211746,2.674041666666666,2.03974736299647,31.625208333333333,,,-28.4126905279615
505,2019-01-19,-0.5883072855180297,4.821316353930416,0.1634224624536012,2.771989583333333,1.1807838645345583,46.55145833333335,,,-28.498985877994
506,2019-01-20,0.06404840806252311,1.7088115626088338,0.23906785269943157,2.457520833333333,1.320552549467328,23.66625,,,-27.9726082715228
507,2019-01-21,-0.5919951199815918,9.297841695481138,0.3625003723613869,0.9769520833333333,1.4509415734550342,82.13446808510636,,,-27.9077573424005
508,2019-01-22,0.47308808985027134,-3.2978220102724443,0.2980046587990037,1.9444437499999998,1.2832517541196975,21.57604166666667,,,-30.1072560224612
509,2019-01-23,0.6876986480040385,11.614229271155624,0.9842930520990865,7.308166666666668,,34.41083333333334,,,-27.8620096210683
510,2019-01-24,-0.2732394243585051,13.36107601053959,0.734321382025574,5.835754166666665,1.2528111326159541,55.32041666666667,-89.2239754255875,,-29.1599220024766
511,2019-01-25,-0.2946662178720063,0.6319505291666676,0.6777320903645697,2.3490354166666667,0.9155693853083894,-5.80374999999999,-101.820356310573,-13.5144654285654,
512,2019-01-26,-0.46764437777785894,13.403512849313813,1.0497397326966194,3.0325520833333335,0.9397600732542446,6.967916666666665,-101.067802173622,-13.4866981605727,-30.065477104559
513,2019-01-27,-0.6217537199598329,16.271894384455717,1.1799175755231732,4.933395833333333,1.0269070797613005,30.795833333333338,,,
514,2019-01-28,-0.7352419312723661,17.72324901552228,1.762758924385267,3.6945666666666668,2.1066264340297627,19.758510638297874,,,
515,2019-01-29,-0.47032769918023964,14.580274977547624,1.8549235049607349,1.638510416666666,3.24104863151675,11.457499999999998,,,
516,2019-01-30,-0.6691788535601995,10.257356705262154,1.2146399027303354,-0.1708854166666669,1.2560709152115366,23.44413043478261,,,-27.3562398241831
517,2019-01-31,-0.07336014944240526,6.020405321075853,1.0913100819185397,-0.004810416666666623,,32.59104166666667,,,-28.0130996353686
518,2019-02-01,0.7128113609606913,2.534253927585642,0.42676005416100254,0.22693958333333333,,2.1943749999999906,-106.29717691044,-13.8879311080602,
519,2019-02-02,-0.8238875540344676,14.237475102435104,0.4902390553623707,4.454383333333333,1.1805850964371032,83.69729166666669,,,-28.8380180014364
520,2019-02-03,0.0985623792650615,3.71116255145544,0.920394597880131,4.020015217391303,1.4532554763287293,37.65043478260869,,,-29.1113196300201
521,2019-02-04,-0.4133919685945469,-3.286635108460485,0.21680469694428747,-0.044260416666666656,,20.84666666666667,,,-30.6903492521299
522,2019-02-05,0.03608337373353581,8.556070504293155,0.3992440804758792,-1.9946395833333337,1.8316930376558194,18.214375,,,
523,2019-02-06,0.34954100699020046,8.58956418267544,0.538827740192385,-4.622087499999999,1.108056908921638,13.52520833333333,,,
524,2019-02-07,0.7815715339893369,10.565399073858842,0.5732505091398369,-4.189027083333333,1.3192787886620374,25.654166666666658,,,
525,2019-02-08,0.5248625395846659,6.647308108333334,0.4968741369378807,-4.9599,0.8858852416955275,18.67916666666667,,,
526,2019-02-09,1.6576799696486895,11.816075945833333,0.38588529621485507,-4.057879166666666,2.483724510240753,13.362916666666663,,,
527,2019-02-10,0.8058854137935306,22.21185037542215,0.8013840627907776,-4.755314583333335,1.6959061103868345,44.23872340425532,,,
528,2019-02-11,0.6833942603132436,3.315149702037672,0.35418926719788335,-0.42211875000000004,1.6364103160334262,5.920833333333339,,,
529,2019-02-12,0.8870024386810947,2.9422515598442263,0.161837158650467,-1.8173574468085105,2.2189905808100208,9.132978723404252,,,
530,2019-02-13,0.4181279308670993,1.457321916382698,0.28942916668608526,0.43784680851063834,0.9162081501716888,15.059787234042568,,,
531,2019-02-14,0.21445161820012407,7.9050937718313845,0.5334902763197765,-1.1299791666666665,3.3934570551412215,13.669374999999995,,,
532,2019-02-15,-0.16725826588922676,1.3748250515703304,0.2153399999603021,-0.95188125,0.8772116211496015,40.38,,,-28.7362488019182
533,2019-02-16,-0.026022466758594324,3.689455201861892,0.18690305705085597,0.5725833333333331,0.9862966645809643,60.112500000000004,-151.831009782509,,-28.8713156256687
534,2019-02-17,-0.2186857981431639,0.4329123779814892,0.5494591660492798,0.12417083333333336,2.633624468113067,115.23229166666668,,,-28.6904449770652
535,2019-02-18,0.03143329316331694,5.694317731058298,0.9621927349942512,0.30432291666666655,1.3715279738105226,65.59729166666666,-156.38105852228,,-29.664495475844
536,2019-02-19,0.42139790317387643,8.077482061185544,0.7966301191555994,1.244904166666667,1.3987409445465833,48.19187499999999,,,-29.9221365673211
537,2019-02-20,0.3255287079766493,12.71105264804324,0.5700597469755229,1.0924479166666667,1.8550666172651704,104.97500000000001,,,
538,2019-02-21,0.7086466715199741,13.953328009799153,0.6794627996963206,-0.4458708333333334,,87.68145833333335,,,
539,2019-02-22,0.29668489259796205,4.6026712043371605,0.6426843351286923,-0.9353479166666667,1.1477701776780316,26.642083333333332,,,
540,2019-02-23,0.8505620061636215,4.487333680327057,0.17517357238101822,-0.061147916666666635,1.4798711510273848,43.58770833333333,,,
541,2019-02-24,1.9786535978141835,8.535953957899206,0.2608777735726032,-0.14617916666666667,2.1676509597611204,20.688125000000003,,,
542,2019-02-25,2.0612594418748533,20.261816652052648,0.49980003201755047,-1.9603270833333335,2.735621705660146,34.921875,,,
543,2019-02-26,0.7383049929792062,36.428105312404874,0.7032291273513566,-3.9449749999999995,2.320577086918728,62.548125,,,
544,2019-02-27,0.882519165598958,25.69860142102033,0.7105108246187535,-5.680604166666666,,39.01083333333332,,,
545,2019-02-28,0.05422478496824159,6.596612605804843,0.8297136997437726,-3.7648229166666654,0.8979007793011853,76.42625,,,
546,2019-03-01,1.1245412084545252,12.817642275998233,0.7805723647413316,-0.8228270833333333,1.2453205499591466,85.555625,,-18.8791066681753,
547,2019-03-02,0.8393769274755315,18.642464580659148,0.7148694942167756,-3.1687875,2.618650131157788,51.657916666666665,,,
548,2019-03-03,0.6542794260753114,24.466258131397492,1.4058814087613574,-4.1746791666666665,,83.295625,,,
549,2019-03-04,0.48515153867255195,22.884926363443785,1.9369301324801615,-5.6063624999999995,,81.69708333333331,,,
550,2019-03-05,0.437752073968972,16.78952905790217,1.9012144129772173,-5.202841666666666,2.8821719839185636,54.963541666666664,,,
551,2019-03-06,0.8891275240544873,16.874642248611114,1.2229676022045075,-3.588166666666668,2.016846933500094,48.25583333333332,,,
552,2019-03-07,0.9012838971585954,6.7978551842944865,0.37028652959123326,-0.5749854166666662,1.1927696121678832,75.52166666666668,,,-29.9565276457914
